sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
POSITIVE,0.9997996687889099,0.9998,0,0.0,0,0,0,0,0,9.62,0.7532,0.0779,0.013,77,,,,1
POSITIVE,0.07288073003292084,0.0729,5,0.2031,0,0,4,0,1,15.59,0.209,0.0613,0.0126,2464,,,,1
POSITIVE,0.9998136162757874,0.9998,0,0.0,0,0,0,0,0,6.69,0.5747,0.0345,0.0,87,,,,1
POSITIVE,0.9992197751998901,0.9992,0,0.0,0,0,0,0,0,12.32,0.4613,0.1144,0.0,271,,,,1
POSITIVE,0.4391299784183502,0.4391,1,0.0682,0,0,0,0,1,13.39,0.2747,0.0801,0.0123,1460,,,,1
NEGATIVE,0.9930792152881622,-0.9931,2,0.3914,0,0,1,1,0,10.06,0.3757,0.0537,0.006,503,,,,1
POSITIVE,0.9979293942451477,0.9979,0,0.0,0,0,0,0,0,12.08,0.3586,0.0707,0.0052,580,,,,1
POSITIVE,0.9998530149459839,0.9999,0,0.0,0,0,0,0,0,8.18,0.6889,0.0889,0.0,90,,,,1
NEGATIVE,0.9406086802482605,-0.9406,0,0.0,0,0,0,0,0,13.75,0.7636,0.0909,0.0182,55,,,,1
POSITIVE,0.4208069642384847,0.4208,3,0.2822,0,0,3,0,0,14.9,0.278,0.0604,0.0105,1043,,,,1
POSITIVE,0.9989654719829559,0.999,3,0.2004,0,0,2,0,1,10.24,0.2725,0.0841,0.0041,1475,,,,1
POSITIVE,0.9991272687911987,0.9991,0,0.0,0,0,0,0,0,8.2,0.3272,0.088,0.0185,648,,,,1
POSITIVE,0.3189895749092102,0.319,0,0.0,0,0,0,0,0,11.95,0.3139,0.0562,0.011,908,,,,1
POSITIVE,7.60108232498169e-05,0.0001,0,0.0,0,0,0,0,0,11.12,0.2601,0.0694,0.0122,1557,,,,1
POSITIVE,0.9941905736923218,0.9942,3,0.1927,0,0,1,0,2,16.05,0.2661,0.0766,0.0071,1541,,,,1
POSITIVE,0.9924484491348267,0.9924,0,0.0,0,0,0,0,0,14.08,0.3713,0.063,0.0,746,,,,1
POSITIVE,0.9998621940612793,0.9999,0,0.0,0,0,0,0,0,14.6,0.6438,0.0685,0.0,73,,,,1
POSITIVE,0.988937109708786,0.9889,1,0.1422,0,0,0,1,0,13.11,0.3597,0.0662,0.0058,695,,,,1
